legal_name,display_name,party_nature,party_type,country,domicile_state,status,brand_origin,is_listed,kyc_risk_rating,pan,gstin,cin,lei,line1,line2,city,state,pincode
Narmada Capital 1017,Narmada Capital 1017,organization,intermediary,IN,Uttar Pradesh,active,binarybonds,false,high,DLPHD1017B,09DLPHD1017B7Z9,U64201MH2024PTC100017,3298AHOX000000000017,"117, Narmada Marg",Noida,Noida,Uttar Pradesh,400017
Malabar Ventures 1018,Malabar Ventures 1018,organization,intermediary,IN,Haryana,active,shared,false,low,AHPFH1018J,06AHPFH1018J8Z1,U64201MH2024PTC100018,3298AHOX000000000018,"118, Malabar Marg",Gurugram,Gurugram,Haryana,400018
Narmada Housing 1019,Narmada Housing 1019,spv,issuer,IN,Gujarat,active,binarybonds,true,low,GLPCC1019D,24GLPCC1019D9Z2,U64201MH2024PTC100019,3298AHOX000000000019,"119, Narmada Marg",Ahmedabad,Ahmedabad,Gujarat,400019
Deccan Technologies 1020,Deccan Technologies 1020,organization,investor,IN,Karnataka,active,binarycapital,true,low,JFPLB1020E,29JFPLB1020E0Z3,U64201MH2024PTC100020,3298AHOX000000000020,"120, Deccan Marg",Bengaluru,Bengaluru,Karnataka,400020
Coromandel Power 1021,Coromandel Power 1021,spv,intermediary,IN,Rajasthan,active,binarycapital,false,high,DLPBC1021E,08DLPBC1021E1Z4,U64201MH2024PTC100021,3298AHOX000000000021,"121, Coromandel Marg",Jaipur,Jaipur,Rajasthan,400021
Sahyadri Power 1022,Sahyadri Power 1022,trust,arranger,IN,West Bengal,active,binarybonds,false,medium,JFPFL1022F,19JFPFL1022F2Z5,U64201MH2024PTC100022,3298AHOX000000000022,"122, Sahyadri Marg",Kolkata,Kolkata,West Bengal,400022
Aravalli Finvest 1023,Aravalli Finvest 1023,spv,spv,IN,Haryana,onboarding,binarycapital,false,low,BFPGC1023L,06BFPGC1023L3Z6,U64201MH2024PTC100023,3298AHOX000000000023,"123, Aravalli Marg",Gurugram,Gurugram,Haryana,400023
Sahyadri Developers 1024,Sahyadri Developers 1024,spv,spv,IN,Gujarat,onboarding,binarybonds,false,high,GJPBH1024B,24GJPBH1024B4Z7,U64201MH2024PTC100024,3298AHOX000000000024,"124, Sahyadri Marg",Ahmedabad,Ahmedabad,Gujarat,400024
Garuda Steels 1025,Garuda Steels 1025,trust,spv,IN,Telangana,onboarding,binarybonds,false,low,CLPJL1025A,36CLPJL1025A5Z8,U64201MH2024PTC100025,3298AHOX000000000025,"125, Garuda Marg",Hyderabad,Hyderabad,Telangana,400025
Aravalli Steels 1026,Aravalli Steels 1026,organization,issuer,IN,Delhi,active,binarybonds,false,medium,BBPGG1026F,07BBPGG1026F6Z9,U64201MH2024PTC100026,3298AHOX000000000026,"126, Aravalli Marg",New Delhi,New Delhi,Delhi,400026
Aravalli Steels 1027,Aravalli Steels 1027,organization,arranger,IN,Uttar Pradesh,active,binarybonds,false,medium,CDPEF1027A,09CDPEF1027A7Z1,U64201MH2024PTC100027,3298AHOX000000000027,"127, Aravalli Marg",Noida,Noida,Uttar Pradesh,400027
Himalaya Technologies 1028,Himalaya Technologies 1028,organization,investor,IN,Rajasthan,active,shared,true,low,DJPAL1028E,08DJPAL1028E8Z2,U64201MH2024PTC100028,3298AHOX000000000028,"128, Himalaya Marg",Jaipur,Jaipur,Rajasthan,400028
Nalanda Finvest 1029,Nalanda Finvest 1029,trust,intermediary,IN,Tamil Nadu,active,binarybonds,false,low,LBPGB1029E,33LBPGB1029E9Z3,U64201MH2024PTC100029,3298AHOX000000000029,"129, Nalanda Marg",Chennai,Chennai,Tamil Nadu,400029
Rajwada Capital 1030,Rajwada Capital 1030,organization,arranger,IN,West Bengal,active,shared,false,medium,AAPHG1030G,19AAPHG1030G0Z4,U64201MH2024PTC100030,3298AHOX000000000030,"130, Rajwada Marg",Kolkata,Kolkata,West Bengal,400030
Maruti Infra 1031,Maruti Infra 1031,organization,investor,IN,Gujarat,active,binarycapital,false,low,JHPLL1031D,24JHPLL1031D1Z5,U64201MH2024PTC100031,3298AHOX000000000031,"131, Maruti Marg",Ahmedabad,Ahmedabad,Gujarat,400031
Himalaya Infra 1032,Himalaya Infra 1032,spv,arranger,IN,Gujarat,active,binarybonds,false,high,DBPFE1032B,24DBPFE1032B2Z6,U64201MH2024PTC100032,3298AHOX000000000032,"132, Himalaya Marg",Ahmedabad,Ahmedabad,Gujarat,400032
Nalanda Developers 1033,Nalanda Developers 1033,organization,intermediary,IN,West Bengal,active,shared,false,high,EFPLF1033C,19EFPLF1033C3Z7,U64201MH2024PTC100033,3298AHOX000000000033,"133, Nalanda Marg",Kolkata,Kolkata,West Bengal,400033
Kaveri Technologies 1034,Kaveri Technologies 1034,organization,spv,IN,Karnataka,active,binarybonds,false,low,BBPAC1034C,29BBPAC1034C4Z8,U64201MH2024PTC100034,3298AHOX000000000034,"134, Kaveri Marg",Bengaluru,Bengaluru,Karnataka,400034
Rajwada Securities 1035,Rajwada Securities 1035,trust,intermediary,IN,Tamil Nadu,active,binarycapital,true,medium,FLPGD1035A,33FLPGD1035A5Z9,U64201MH2024PTC100035,3298AHOX000000000035,"135, Rajwada Marg",Chennai,Chennai,Tamil Nadu,400035
Kaveri Cements 1036,Kaveri Cements 1036,organization,arranger,IN,West Bengal,active,binarybonds,false,high,AFPHA1036D,19AFPHA1036D6Z1,U64201MH2024PTC100036,3298AHOX000000000036,"136, Kaveri Marg",Kolkata,Kolkata,West Bengal,400036
Konark Logistics 1037,Konark Logistics 1037,trust,issuer,IN,Telangana,active,shared,false,medium,CBPCD1037E,36CBPCD1037E7Z2,U64201MH2024PTC100037,3298AHOX000000000037,"137, Konark Marg",Hyderabad,Hyderabad,Telangana,400037
Nalanda Enterprises 1038,Nalanda Enterprises 1038,spv,intermediary,IN,Gujarat,active,shared,false,high,HHPFA1038F,24HHPFA1038F8Z3,U64201MH2024PTC100038,3298AHOX000000000038,"138, Nalanda Marg",Ahmedabad,Ahmedabad,Gujarat,400038
Deccan Capital 1039,Deccan Capital 1039,spv,intermediary,IN,Maharashtra,onboarding,binarybonds,false,low,AAPEJ1039D,27AAPEJ1039D9Z4,U64201MH2024PTC100039,3298AHOX000000000039,"139, Deccan Marg",Mumbai,Mumbai,Maharashtra,400039
Kaveri Logistics 1040,Kaveri Logistics 1040,trust,issuer,IN,West Bengal,active,shared,false,high,FLPAA1040L,19FLPAA1040L0Z5,U64201MH2024PTC100040,3298AHOX000000000040,"140, Kaveri Marg",Kolkata,Kolkata,West Bengal,400040
Rajwada Technologies 1041,Rajwada Technologies 1041,trust,intermediary,IN,Haryana,active,shared,false,low,HAPLL1041A,06HAPLL1041A1Z6,U64201MH2024PTC100041,3298AHOX000000000041,"141, Rajwada Marg",Gurugram,Gurugram,Haryana,400041
Maruti Group 1042,Maruti Group 1042,trust,intermediary,IN,Delhi,active,shared,true,high,HAPLL1042C,07HAPLL1042C2Z7,U64201MH2024PTC100042,3298AHOX000000000042,"142, Maruti Marg",New Delhi,New Delhi,Delhi,400042
Deccan Developers 1043,Deccan Developers 1043,trust,investor,IN,Rajasthan,active,binarybonds,false,low,EJPLJ1043A,08EJPLJ1043A3Z8,U64201MH2024PTC100043,3298AHOX000000000043,"143, Deccan Marg",Jaipur,Jaipur,Rajasthan,400043
Narmada Cements 1044,Narmada Cements 1044,trust,investor,IN,Rajasthan,active,shared,true,low,LGPLA1044G,08LGPLA1044G4Z9,U64201MH2024PTC100044,3298AHOX000000000044,"144, Narmada Marg",Jaipur,Jaipur,Rajasthan,400044
Kaveri Steels 1045,Kaveri Steels 1045,spv,investor,IN,Maharashtra,active,shared,false,low,GFPLL1045C,27GFPLL1045C5Z1,U64201MH2024PTC100045,3298AHOX000000000045,"145, Kaveri Marg",Mumbai,Mumbai,Maharashtra,400045
Deccan Housing 1046,Deccan Housing 1046,spv,intermediary,IN,Maharashtra,active,binarybonds,false,medium,EGPFB1046B,27EGPFB1046B6Z2,U64201MH2024PTC100046,3298AHOX000000000046,"146, Deccan Marg",Mumbai,Mumbai,Maharashtra,400046
Bharat Industries 1047,Bharat Industries 1047,organization,intermediary,IN,Telangana,active,binarycapital,false,medium,HEPGB1047C,36HEPGB1047C7Z3,U64201MH2024PTC100047,3298AHOX000000000047,"147, Bharat Marg",Hyderabad,Hyderabad,Telangana,400047
Deccan Industries 1048,Deccan Industries 1048,organization,spv,IN,Delhi,active,binarybonds,false,medium,ECPAE1048H,07ECPAE1048H8Z4,U64201MH2024PTC100048,3298AHOX000000000048,"148, Deccan Marg",New Delhi,New Delhi,Delhi,400048
Yamuna Ventures 1049,Yamuna Ventures 1049,trust,arranger,IN,Gujarat,active,binarybonds,false,medium,ADPAD1049H,24ADPAD1049H9Z5,U64201MH2024PTC100049,3298AHOX000000000049,"149, Yamuna Marg",Ahmedabad,Ahmedabad,Gujarat,400049
Maruti Capital 1050,Maruti Capital 1050,organization,spv,IN,Karnataka,active,binarycapital,false,low,ECPJF1050D,29ECPJF1050D0Z6,U64201MH2024PTC100050,3298AHOX000000000050,"150, Maruti Marg",Bengaluru,Bengaluru,Karnataka,400050
Sahyadri Infra 1051,Sahyadri Infra 1051,trust,spv,IN,Rajasthan,active,binarybonds,true,low,HEPFD1051A,08HEPFD1051A1Z7,U64201MH2024PTC100051,3298AHOX000000000051,"151, Sahyadri Marg",Jaipur,Jaipur,Rajasthan,400051
Pallava Developers 1052,Pallava Developers 1052,organization,issuer,IN,Tamil Nadu,onboarding,shared,false,high,DJPBL1052E,33DJPBL1052E2Z8,U64201MH2024PTC100052,3298AHOX000000000052,"152, Pallava Marg",Chennai,Chennai,Tamil Nadu,400052
Vedanta Power 1053,Vedanta Power 1053,trust,issuer,IN,Rajasthan,active,binarybonds,false,medium,CFPDD1053L,08CFPDD1053L3Z9,U64201MH2024PTC100053,3298AHOX000000000053,"153, Vedanta Marg",Jaipur,Jaipur,Rajasthan,400053
Nilgiri Infra 1054,Nilgiri Infra 1054,spv,arranger,IN,Delhi,active,shared,true,low,CJPFE1054D,07CJPFE1054D4Z1,U64201MH2024PTC100054,3298AHOX000000000054,"154, Nilgiri Marg",New Delhi,New Delhi,Delhi,400054
Coromandel Finance 1055,Coromandel Finance 1055,trust,investor,IN,Tamil Nadu,onboarding,shared,false,high,DJPBG1055A,33DJPBG1055A5Z2,U64201MH2024PTC100055,3298AHOX000000000055,"155, Coromandel Marg",Chennai,Chennai,Tamil Nadu,400055
Deccan Ventures 1056,Deccan Ventures 1056,trust,arranger,IN,Delhi,active,shared,false,high,EBPCB1056A,07EBPCB1056A6Z3,U64201MH2024PTC100056,3298AHOX000000000056,"156, Deccan Marg",New Delhi,New Delhi,Delhi,400056
Bharat Power 1057,Bharat Power 1057,organization,spv,IN,Uttar Pradesh,onboarding,binarybonds,false,high,EBPBJ1057G,09EBPBJ1057G7Z4,U64201MH2024PTC100057,3298AHOX000000000057,"157, Bharat Marg",Noida,Noida,Uttar Pradesh,400057
Nilgiri Logistics 1058,Nilgiri Logistics 1058,trust,arranger,IN,Delhi,active,shared,false,medium,BGPJL1058J,07BGPJL1058J8Z5,U64201MH2024PTC100058,3298AHOX000000000058,"158, Nilgiri Marg",New Delhi,New Delhi,Delhi,400058
Konark Infra 1059,Konark Infra 1059,organization,spv,IN,Gujarat,active,shared,false,low,DGPBE1059F,24DGPBE1059F9Z6,U64201MH2024PTC100059,3298AHOX000000000059,"159, Konark Marg",Ahmedabad,Ahmedabad,Gujarat,400059
Deccan Securities 1060,Deccan Securities 1060,trust,investor,IN,Gujarat,active,binarybonds,false,medium,EAPAC1060J,24EAPAC1060J0Z7,U64201MH2024PTC100060,3298AHOX000000000060,"160, Deccan Marg",Ahmedabad,Ahmedabad,Gujarat,400060
Pallava Industries 1061,Pallava Industries 1061,spv,spv,IN,Gujarat,active,shared,true,high,DDPEJ1061J,24DDPEJ1061J1Z8,U64201MH2024PTC100061,3298AHOX000000000061,"161, Pallava Marg",Ahmedabad,Ahmedabad,Gujarat,400061
Narmada Holdings 1062,Narmada Holdings 1062,organization,issuer,IN,Telangana,onboarding,binarycapital,false,high,CDPJF1062A,36CDPJF1062A2Z9,U64201MH2024PTC100062,3298AHOX000000000062,"162, Narmada Marg",Hyderabad,Hyderabad,Telangana,400062
Malabar Investments 1063,Malabar Investments 1063,trust,investor,IN,Gujarat,active,binarycapital,true,low,GEPGA1063J,24GEPGA1063J3Z1,U64201MH2024PTC100063,3298AHOX000000000063,"163, Malabar Marg",Ahmedabad,Ahmedabad,Gujarat,400063
Chola Infra 1064,Chola Infra 1064,organization,investor,IN,Delhi,active,binarybonds,false,low,GCPBJ1064G,07GCPBJ1064G4Z2,U64201MH2024PTC100064,3298AHOX000000000064,"164, Chola Marg",New Delhi,New Delhi,Delhi,400064
Yamuna Housing 1065,Yamuna Housing 1065,trust,intermediary,IN,Tamil Nadu,active,binarycapital,true,high,CLPBD1065B,33CLPBD1065B5Z3,U64201MH2024PTC100065,3298AHOX000000000065,"165, Yamuna Marg",Chennai,Chennai,Tamil Nadu,400065
Nilgiri Enterprises 1066,Nilgiri Enterprises 1066,trust,intermediary,IN,Tamil Nadu,active,binarycapital,false,medium,LFPCA1066J,33LFPCA1066J6Z4,U64201MH2024PTC100066,3298AHOX000000000066,"166, Nilgiri Marg",Chennai,Chennai,Tamil Nadu,400066
Konark Motors 1067,Konark Motors 1067,trust,issuer,IN,Maharashtra,active,binarycapital,false,high,JDPDD1067E,27JDPDD1067E7Z5,U64201MH2024PTC100067,3298AHOX000000000067,"167, Konark Marg",Mumbai,Mumbai,Maharashtra,400067
Yamuna Finvest 1068,Yamuna Finvest 1068,organization,issuer,IN,Tamil Nadu,active,binarycapital,false,medium,ECPBG1068J,33ECPBG1068J8Z6,U64201MH2024PTC100068,3298AHOX000000000068,"168, Yamuna Marg",Chennai,Chennai,Tamil Nadu,400068
Chola Industries 1069,Chola Industries 1069,trust,spv,IN,Tamil Nadu,active,binarycapital,false,low,JFPLG1069J,33JFPLG1069J9Z7,U64201MH2024PTC100069,3298AHOX000000000069,"169, Chola Marg",Chennai,Chennai,Tamil Nadu,400069
Chola Group 1070,Chola Group 1070,organization,investor,IN,Rajasthan,active,binarybonds,true,medium,GEPHD1070E,08GEPHD1070E0Z8,U64201MH2024PTC100070,3298AHOX000000000070,"170, Chola Marg",Jaipur,Jaipur,Rajasthan,400070
Chola Securities 1071,Chola Securities 1071,trust,intermediary,IN,Haryana,active,binarybonds,false,medium,ECPBL1071F,06ECPBL1071F1Z9,U64201MH2024PTC100071,3298AHOX000000000071,"171, Chola Marg",Gurugram,Gurugram,Haryana,400071
Narmada Holdings 1072,Narmada Holdings 1072,spv,issuer,IN,Maharashtra,active,binarybonds,true,low,LHPCA1072L,27LHPCA1072L2Z1,U64201MH2024PTC100072,3298AHOX000000000072,"172, Narmada Marg",Mumbai,Mumbai,Maharashtra,400072
Deccan Ventures 1073,Deccan Ventures 1073,organization,spv,IN,Haryana,active,shared,false,high,BCPAD1073C,06BCPAD1073C3Z2,U64201MH2024PTC100073,3298AHOX000000000073,"173, Deccan Marg",Gurugram,Gurugram,Haryana,400073
Coromandel Housing 1074,Coromandel Housing 1074,trust,issuer,IN,Delhi,active,shared,true,low,BLPHJ1074B,07BLPHJ1074B4Z3,U64201MH2024PTC100074,3298AHOX000000000074,"174, Coromandel Marg",New Delhi,New Delhi,Delhi,400074
Carnatic Logistics 1075,Carnatic Logistics 1075,organization,arranger,IN,Karnataka,active,binarycapital,false,high,EEPEC1075H,29EEPEC1075H5Z4,U64201MH2024PTC100075,3298AHOX000000000075,"175, Carnatic Marg",Bengaluru,Bengaluru,Karnataka,400075
Bharat Developers 1076,Bharat Developers 1076,spv,spv,IN,Haryana,onboarding,binarybonds,false,high,LAPEJ1076C,06LAPEJ1076C6Z5,U64201MH2024PTC100076,3298AHOX000000000076,"176, Bharat Marg",Gurugram,Gurugram,Haryana,400076
Aravalli Investments 1077,Aravalli Investments 1077,spv,investor,IN,West Bengal,active,binarybonds,true,high,GLPFA1077A,19GLPFA1077A7Z6,U64201MH2024PTC100077,3298AHOX000000000077,"177, Aravalli Marg",Kolkata,Kolkata,West Bengal,400077
Konark Enterprises 1078,Konark Enterprises 1078,organization,intermediary,IN,West Bengal,active,binarycapital,false,medium,BBPLD1078F,19BBPLD1078F8Z7,U64201MH2024PTC100078,3298AHOX000000000078,"178, Konark Marg",Kolkata,Kolkata,West Bengal,400078
Garuda Holdings 1079,Garuda Holdings 1079,organization,intermediary,IN,Maharashtra,onboarding,shared,false,medium,ECPDJ1079J,27ECPDJ1079J9Z8,U64201MH2024PTC100079,3298AHOX000000000079,"179, Garuda Marg",Mumbai,Mumbai,Maharashtra,400079
Rajwada Investments 1080,Rajwada Investments 1080,spv,spv,IN,Rajasthan,active,binarybonds,true,high,GGPAJ1080D,08GGPAJ1080D0Z9,U64201MH2024PTC100080,3298AHOX000000000080,"180, Rajwada Marg",Jaipur,Jaipur,Rajasthan,400080
Chola Developers 1081,Chola Developers 1081,spv,intermediary,IN,Karnataka,active,binarybonds,false,low,JJPGG1081F,29JJPGG1081F1Z1,U64201MH2024PTC100081,3298AHOX000000000081,"181, Chola Marg",Bengaluru,Bengaluru,Karnataka,400081
Nilgiri Capital 1082,Nilgiri Capital 1082,spv,intermediary,IN,Haryana,active,binarycapital,false,low,AEPED1082E,06AEPED1082E2Z2,U64201MH2024PTC100082,3298AHOX000000000082,"182, Nilgiri Marg",Gurugram,Gurugram,Haryana,400082
Maruti Enterprises 1083,Maruti Enterprises 1083,spv,arranger,IN,Karnataka,active,binarybonds,false,low,LCPCH1083E,29LCPCH1083E3Z3,U64201MH2024PTC100083,3298AHOX000000000083,"183, Maruti Marg",Bengaluru,Bengaluru,Karnataka,400083
Malabar Technologies 1084,Malabar Technologies 1084,spv,spv,IN,Uttar Pradesh,onboarding,binarycapital,false,high,HCPBJ1084J,09HCPBJ1084J4Z4,U64201MH2024PTC100084,3298AHOX000000000084,"184, Malabar Marg",Noida,Noida,Uttar Pradesh,400084
Pallava Hotels 1085,Pallava Hotels 1085,trust,spv,IN,Gujarat,active,binarybonds,true,high,JCPHD1085C,24JCPHD1085C5Z5,U64201MH2024PTC100085,3298AHOX000000000085,"185, Pallava Marg",Ahmedabad,Ahmedabad,Gujarat,400085
Himalaya Power 1086,Himalaya Power 1086,trust,investor,IN,Maharashtra,active,binarycapital,false,medium,HDPDF1086L,27HDPDF1086L6Z6,U64201MH2024PTC100086,3298AHOX000000000086,"186, Himalaya Marg",Mumbai,Mumbai,Maharashtra,400086
Kaveri Chemicals 1087,Kaveri Chemicals 1087,spv,spv,IN,Telangana,active,binarycapital,false,medium,AAPJA1087G,36AAPJA1087G7Z7,U64201MH2024PTC100087,3298AHOX000000000087,"187, Kaveri Marg",Hyderabad,Hyderabad,Telangana,400087
Aravalli Housing 1088,Aravalli Housing 1088,organization,issuer,IN,Maharashtra,active,shared,true,high,BCPBL1088A,27BCPBL1088A8Z8,U64201MH2024PTC100088,3298AHOX000000000088,"188, Aravalli Marg",Mumbai,Mumbai,Maharashtra,400088
Narmada Motors 1089,Narmada Motors 1089,organization,issuer,IN,West Bengal,active,binarybonds,false,low,CFPBG1089E,19CFPBG1089E9Z9,U64201MH2024PTC100089,3298AHOX000000000089,"189, Narmada Marg",Kolkata,Kolkata,West Bengal,400089
Yamuna Group 1090,Yamuna Group 1090,trust,investor,IN,Maharashtra,active,shared,false,medium,HDPCG1090L,27HDPCG1090L0Z1,U64201MH2024PTC100090,3298AHOX000000000090,"190, Yamuna Marg",Mumbai,Mumbai,Maharashtra,400090
Chola Motors 1091,Chola Motors 1091,trust,issuer,IN,Karnataka,active,binarycapital,false,high,DJPBC1091H,29DJPBC1091H1Z2,U64201MH2024PTC100091,3298AHOX000000000091,"191, Chola Marg",Bengaluru,Bengaluru,Karnataka,400091
Bharat Housing 1092,Bharat Housing 1092,trust,issuer,IN,Karnataka,active,binarybonds,true,high,EAPLC1092H,29EAPLC1092H2Z3,U64201MH2024PTC100092,3298AHOX000000000092,"192, Bharat Marg",Bengaluru,Bengaluru,Karnataka,400092
Pallava Logistics 1093,Pallava Logistics 1093,trust,arranger,IN,Maharashtra,onboarding,binarycapital,false,low,BAPBD1093E,27BAPBD1093E3Z4,U64201MH2024PTC100093,3298AHOX000000000093,"193, Pallava Marg",Mumbai,Mumbai,Maharashtra,400093
Pallava Housing 1094,Pallava Housing 1094,organization,intermediary,IN,Tamil Nadu,onboarding,shared,false,low,HHPHL1094L,33HHPHL1094L4Z5,U64201MH2024PTC100094,3298AHOX000000000094,"194, Pallava Marg",Chennai,Chennai,Tamil Nadu,400094
Aravalli Motors 1095,Aravalli Motors 1095,spv,spv,IN,Maharashtra,active,binarybonds,false,medium,DFPBH1095J,27DFPBH1095J5Z6,U64201MH2024PTC100095,3298AHOX000000000095,"195, Aravalli Marg",Mumbai,Mumbai,Maharashtra,400095
Himalaya Holdings 1096,Himalaya Holdings 1096,trust,issuer,IN,Telangana,active,binarycapital,true,low,FJPFD1096E,36FJPFD1096E6Z7,U64201MH2024PTC100096,3298AHOX000000000096,"196, Himalaya Marg",Hyderabad,Hyderabad,Telangana,400096
Garuda Investments 1097,Garuda Investments 1097,trust,arranger,IN,Uttar Pradesh,active,binarycapital,false,low,HBPBE1097H,09HBPBE1097H7Z8,U64201MH2024PTC100097,3298AHOX000000000097,"197, Garuda Marg",Noida,Noida,Uttar Pradesh,400097
Narmada Infra 1098,Narmada Infra 1098,organization,issuer,IN,Uttar Pradesh,active,binarycapital,false,high,BBPJD1098J,09BBPJD1098J8Z9,U64201MH2024PTC100098,3298AHOX000000000098,"198, Narmada Marg",Noida,Noida,Uttar Pradesh,400098
Chola Investments 1099,Chola Investments 1099,spv,spv,IN,Tamil Nadu,active,binarycapital,false,high,DFPCJ1099D,33DFPCJ1099D9Z1,U64201MH2024PTC100099,3298AHOX000000000099,"199, Chola Marg",Chennai,Chennai,Tamil Nadu,400099
Bharat Motors 1100,Bharat Motors 1100,spv,arranger,IN,Uttar Pradesh,active,binarybonds,false,high,BDPAA1100J,09BDPAA1100J0Z2,U64201MH2024PTC100100,3298AHOX000000000100,"200, Bharat Marg",Noida,Noida,Uttar Pradesh,400100
Rajwada Ventures 1101,Rajwada Ventures 1101,trust,spv,IN,West Bengal,active,binarycapital,false,high,BLPJE1101H,19BLPJE1101H1Z3,U64201MH2024PTC100101,3298AHOX000000000101,"201, Rajwada Marg",Kolkata,Kolkata,West Bengal,400101
Pallava Hotels 1102,Pallava Hotels 1102,trust,investor,IN,Delhi,onboarding,binarybonds,false,low,HLPHJ1102L,07HLPHJ1102L2Z4,U64201MH2024PTC100102,3298AHOX000000000102,"202, Pallava Marg",New Delhi,New Delhi,Delhi,400102
Pallava Investments 1103,Pallava Investments 1103,trust,arranger,IN,Karnataka,active,binarybonds,true,medium,BDPDL1103F,29BDPDL1103F3Z5,U64201MH2024PTC100103,3298AHOX000000000103,"203, Pallava Marg",Bengaluru,Bengaluru,Karnataka,400103
Narmada Technologies 1104,Narmada Technologies 1104,spv,arranger,IN,Gujarat,active,binarybonds,false,low,GBPDA1104B,24GBPDA1104B4Z6,U64201MH2024PTC100104,3298AHOX000000000104,"204, Narmada Marg",Ahmedabad,Ahmedabad,Gujarat,400104
